Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-10-27,52365.32421875,52803.16137776965,52102.62192333821,52803.16137776965,17260416
2020-10-28,51664.7890625,52015.05881885593,51489.65418432203,52015.05881885593,14428882
2020-10-29,50876.67578125,51226.94549402969,50351.271212080464,50964.243209444925,22636966
2020-10-30,49563.16796875,50789.112052782686,49563.16796875,50789.112052782686,26907844
2020-11-02,50263.703125,50351.27055204704,49037.759146341465,49388.02885452961,20489076
2020-11-03,51489.6484375,51577.21586681547,50438.83928571428,50701.54157366071,14950919
2020-11-04,51226.95703125,51664.79427083333,50613.98489583333,51577.226822916666,21718561
2020-11-05,52803.1640625,52803.1640625,51489.652518656716,51664.78739116915,20639475
2020-11-06,52628.02734375,53240.99937603994,52190.19017782862,53153.43194285566,16910230
2020-11-09,52715.58984375,53328.56181867732,52628.02241876038,53153.426968698084,15892961
2020-11-10,52715.58984375,52978.292118718855,52102.61786882267,52978.292118718855,19073552
2020-11-11,53678.82421875,53766.39163183116,52890.71750101958,53153.41974026305,25628510
2020-11-12,53416.140625,53766.41039959017,53153.43829405738,53416.140625,19800573
2020-11-13,55342.61328125,55342.61328125,53416.1299075356,53678.83218576938,31508829
2020-11-16,58057.2109375,58407.480686745854,55955.592442024885,56043.15987933635,36354334
2020-11-17,57531.80078125,58670.17735683029,57444.23335235921,58670.17735683029,30204089
2020-11-18,56743.69921875,57969.64333767361,56656.131781684024,57531.80615234375,22963790
2020-11-19,56568.55859375,56743.6934500774,55955.5865966041,56130.7214529315,16590290
2020-11-20,56656.12890625,57093.96606935858,55955.58944527627,55955.58944527627,15068682
2020-11-23,59108.0234375,59370.725763888884,56656.135057870364,56743.7025,27134398
2020-11-24,59283.1640625,60859.37817346751,58670.19190823486,59458.29896371861,32158235
2020-11-25,58319.9140625,59808.5605175488,58232.346623967715,59458.29076341967,32447065
2020-11-26,59545.8515625,59545.8515625,57794.50298713235,57882.07041590074,19023323
2020-11-27,59721.0078125,59896.142732771266,59195.60305168622,59545.87289222874,14063434
2020-11-30,58407.47265625,60071.25373641304,58407.47265625,59896.11888586957,43811016
2020-12-01,59370.7109375,59808.548038809,58757.7389956674,58757.7389956674,22327173
2020-12-02,60859.3671875,61209.636926708634,59808.5579698741,59896.125404676255,29703942
2020-12-03,61034.49609375,61735.03550372131,60684.22638876435,61384.76579873566,23677989
2020-12-04,62610.7109375,63136.1155048077,61384.766947115386,61647.46923076923,28130533
2020-12-07,63836.65234375,64362.05688978909,62960.97810035151,63398.815222050755,28490496
2020-12-08,62785.8515625,63836.66079367155,62698.28412656904,63223.688742154816,25000338
2020-12-09,64712.3359375,64712.3359375,63048.55463464141,63136.12207163397,24077996
2020-12-10,63836.65234375,64624.759162808645,63486.3826463906,63661.5174950703,39882928
2020-12-11,64274.49609375,64624.76582723093,64011.79379363931,64362.06352712023,18486672
2020-12-14,64624.7734375,65237.74554327575,64099.3687754065,64449.6385501355,21510415
2020-12-15,64624.7734375,64887.47576854675,64186.936219088755,64624.7734375,20863671
2020-12-16,64624.7734375,65237.74554327575,64274.50366277101,64887.47576854675,17512081
2020-12-17,64186.9296875,64537.19942658595,63573.95764409959,64274.49712227149,24293214
2020-12-18,63924.22265625,64537.194654323626,63924.22265625,64186.9249411387,17613029
2020-12-21,63924.22265625,64274.49236943493,63048.54837328767,64011.79008454623,20367355
2020-12-22,63311.265625,64099.3726659751,63136.130727005526,63486.40052299447,16304910
2020-12-23,64712.3359375,64799.90337449256,63311.25694561908,63398.82438261164,19411326
2020-12-24,68127.4765625,69003.15106844473,64799.91343991002,64887.4808905045,32502870
2020-12-28,68915.5859375,70141.53028708704,68477.74866979034,69178.28829812579,40085044
2020-12-29,70290.859375,70829.48664990421,69393.14725015964,70739.71543742018,30339449
2020-12-30,72714.703125,72984.01684027778,69393.16730324074,69482.93854166666,29417421
2021-01-04,74510.125,75766.92228915663,71996.53042168675,72714.70030120482,38655276
2021-01-05,75318.0546875,75318.0546875,73253.31659713945,73253.31659713945,35335669
2021-01-06,73791.9453125,75856.68344168187,73702.1740894921,74779.42876558698,42089013
2021-01-07,74420.3359375,75587.36171215319,74240.79351063028,74330.56472406513,32644642
2021-01-08,79716.8515625,80794.1063133446,74510.12026675112,74779.43395446228,59013307
2021-01-11,81691.8125,86898.54340659341,80345.24416208791,80794.10027472528,90306177
2021-01-12,81332.7265625,82050.8963334713,78819.13236410044,81063.41289838577,48682416
2021-01-13,80524.796875,81871.36538461539,79986.16947115384,80614.56810897436,36068848
2021-01-14,80524.796875,80794.11057692308,79627.0845352564,79627.0845352564,26393970
2021-01-15,78998.6640625,82409.97001065341,78998.6640625,80614.54582741477,33431809
2021-01-18,76305.53125,78370.26915441177,75497.59033088236,77741.87066176471,43227951
2021-01-19,78100.9609375,78998.6731321839,75048.73947557471,75856.68045079023,39895044
2021-01-20,78280.5078125,79896.38985450115,77652.10924061066,79896.38985450115,25211127
2021-01-21,79088.4609375,79537.31712897276,77652.12112478717,78549.83350773269,25318011
